year,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,records_with_unknown_month,source_id,source_scope,coverage_tier,coverage_status,provisional,comparable_over_time,causal_smoke_attribution
2014,Canada,5016,11232557,660,5016,5016,4,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2015,Canada,7029,9657805,1054,7029,7029,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2016,Canada,5235,3252377,717,5235,5235,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2017,Canada,5654,8869661,818,5654,5654,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2018,Canada,7111,5748553,1003,7111,7111,2,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2019,Canada,4062,4413834,618,4062,4062,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2020,Canada,4014,539337,1740,4014,4014,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2021,Canada,6710,10079169,2870,6710,6710,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2022,Canada,5658,3894885,1463,5658,5658,289,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2023,Canada,6837,43506724,1972,6837,6837,2,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2024,Canada,5844,13280293,2162,5844,5844,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2025,Canada,6198,20822852,2124,6198,6198,2,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2026,Canada,,,,,,0,,,none,no_national_incident_catalog,true,false,false
