year,month,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,source_id,source_scope,coverage_tier,coverage_status,calendar_window_complete,provisional,comparable_over_time,causal_smoke_attribution
1970,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1971,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
