zcta,name,state,population_2020,latitude,longitude,grid_distance_km,smoke_days_aqi101_equiv,mean_smoke_pm25_ug_m3,population_days
02021,ZCTA5 02021,MA,24370,42.175737,-71.125385,6.519,1,0.766,24370
02025,ZCTA5 02025,MA,8381,42.236444,-70.814309,9.469,1,0.777,8381
02026,ZCTA5 02026,MA,25364,42.246872,-71.179462,2.939,1,0.766,25364
02030,ZCTA5 02030,MA,5923,42.23416,-71.291167,6.08,1,0.775,5923
02032,ZCTA5 02032,MA,4853,42.156882,-71.216187,7.161,1,0.774,4853
02035,ZCTA5 02035,MA,18618,42.061338,-71.245802,4.479,1,0.774,18618
02038,ZCTA5 02038,MA,33261,42.084858,-71.410571,5.942,1,0.754,33261
02043,ZCTA5 02043,MA,24272,42.216098,-70.88127,7.547,1,0.759,24272
02045,ZCTA5 02045,MA,10072,42.297966,-70.929137,3.711,1,0.757,10072
02047,ZCTA5 02047,MA,371,42.134144,-70.686313,7.462,0,0.772,0
02048,ZCTA5 02048,MA,23860,42.017302,-71.21642,8.38,1,0.774,23860
02050,ZCTA5 02050,MA,25956,42.115139,-70.710331,6.128,0,0.772,0
02052,ZCTA5 02052,MA,12799,42.184599,-71.305307,9.303,1,0.754,12799
02053,ZCTA5 02053,MA,13115,42.156203,-71.430345,3.333,1,0.754,13115
02054,ZCTA5 02054,MA,8460,42.173103,-71.363756,4.889,1,0.754,8460
02056,ZCTA5 02056,MA,11662,42.11366,-71.33756,5.699,1,0.754,11662
02061,ZCTA5 02061,MA,11351,42.164569,-70.818844,4.417,0,0.772,0
02062,ZCTA5 02062,MA,31611,42.187364,-71.195971,6.152,1,0.766,31611
02066,ZCTA5 02066,MA,18561,42.202273,-70.758184,7.053,0,0.772,0
