zcta,name,state,population_2020,latitude,longitude,land_sq_mi
32533,ZCTA5 32533,FL,30517,30.610506,-87.326783,74.91
32534,ZCTA5 32534,FL,16006,30.528939,-87.281718,9.717
32535,ZCTA5 32535,FL,6043,30.963698,-87.346175,71.686
32536,ZCTA5 32536,FL,25807,30.763783,-86.591616,46.498
32539,ZCTA5 32539,FL,31749,30.778999,-86.477169,121.624
32541,ZCTA5 32541,FL,18419,30.395159,-86.478784,11.618
32542,ZCTA5 32542,FL,3834,30.464551,-86.525167,16.229
32544,ZCTA5 32544,FL,1509,30.427283,-86.697154,9.498
32547,ZCTA5 32547,FL,35466,30.474115,-86.667533,34.942
32548,ZCTA5 32548,FL,22399,30.39543,-86.720812,12.948
32550,ZCTA5 32550,FL,7828,30.380705,-86.348138,6.716
32561,ZCTA5 32561,FL,9241,30.340189,-87.113795,12.038
32563,ZCTA5 32563,FL,27329,30.396949,-87.028472,16.629
32564,ZCTA5 32564,FL,3159,30.728808,-86.781915,91.188
32565,ZCTA5 32565,FL,6105,30.892603,-87.131683,231.03
32566,ZCTA5 32566,FL,44434,30.435605,-86.879415,40.241
32567,ZCTA5 32567,FL,4210,30.923726,-86.449136,139.612
32568,ZCTA5 32568,FL,3093,30.873178,-87.449977,156.051
32569,ZCTA5 32569,FL,12378,30.410972,-86.730471,4.042
32570,ZCTA5 32570,FL,33144,30.804966,-86.967487,319.564
32571,ZCTA5 32571,FL,38885,30.673287,-87.19585,104.012
32577,ZCTA5 32577,FL,5316,30.727473,-87.365012,66.399
32578,ZCTA5 32578,FL,35075,30.507786,-86.448006,24.079
32579,ZCTA5 32579,FL,10444,30.450892,-86.573486,4.368
32580,ZCTA5 32580,FL,4120,30.489923,-86.514663,12.513
32583,ZCTA5 32583,FL,31047,30.592511,-86.971003,144.499
32601,ZCTA5 32601,FL,22039,29.64897,-82.324941,4.544
32603,ZCTA5 32603,FL,7367,29.656712,-82.3475,1.367
32605,ZCTA5 32605,FL,24326,29.67918,-82.372822,9.998
32606,ZCTA5 32606,FL,24380,29.682064,-82.444115,17.082
32607,ZCTA5 32607,FL,35420,29.647333,-82.419155,11.839
32608,ZCTA5 32608,FL,55540,29.599437,-82.410181,38.981
32609,ZCTA5 32609,FL,18322,29.772187,-82.283422,112.307
32612,ZCTA5 32612,FL,6498,29.64312,-82.353845,0.816
32615,ZCTA5 32615,FL,16524,29.81917,-82.486164,138.58
32616,ZCTA5 32616,FL,178,29.788495,-82.495256,0.642
32617,ZCTA5 32617,FL,4295,29.308388,-82.074366,29.549
32618,ZCTA5 32618,FL,7183,29.545752,-82.51691,90.904
32619,ZCTA5 32619,FL,5007,29.761646,-82.859468,118.211
32621,ZCTA5 32621,FL,5396,29.424698,-82.610144,73.37
32622,ZCTA5 32622,FL,1456,29.908054,-82.318845,60.84
32625,ZCTA5 32625,FL,1620,29.214738,-82.995429,84.738
32626,ZCTA5 32626,FL,8620,29.423864,-82.899323,204.155
32628,ZCTA5 32628,FL,5343,29.625434,-83.207,103.534
32631,ZCTA5 32631,FL,311,29.704429,-82.092511,1.861
32639,ZCTA5 32639,FL,325,29.227004,-82.712558,56.87
32640,ZCTA5 32640,FL,10281,29.578802,-82.08634,208.955
32641,ZCTA5 32641,FL,13872,29.647501,-82.239482,49.619
32643,ZCTA5 32643,FL,12549,29.826711,-82.634211,117.18
32648,ZCTA5 32648,FL,443,29.503781,-83.270475,60.065
32653,ZCTA5 32653,FL,14397,29.745013,-82.393796,39.129
32656,ZCTA5 32656,FL,14686,29.813438,-81.958516,56.624
32658,ZCTA5 32658,FL,299,29.849886,-82.391158,3.001
32664,ZCTA5 32664,FL,504,29.446543,-82.216746,1.416
32666,ZCTA5 32666,FL,5961,29.723637,-81.997495,54.997
32667,ZCTA5 32667,FL,4117,29.513704,-82.304844,93.082
32668,ZCTA5 32668,FL,5548,29.257242,-82.474721,121.452
32669,ZCTA5 32669,FL,15890,29.632156,-82.589919,103.539
32680,ZCTA5 32680,FL,10008,29.542562,-83.13231,249.878
32681,ZCTA5 32681,FL,133,29.423388,-82.205579,0.368
32683,ZCTA5 32683,FL,133,29.295239,-82.786235,8.198
32686,ZCTA5 32686,FL,4339,29.355545,-82.275017,73.926
32692,ZCTA5 32692,FL,197,29.333326,-83.122581,5.19
32693,ZCTA5 32693,FL,12815,29.626485,-82.785375,205.46
32694,ZCTA5 32694,FL,1962,29.808061,-82.144376,26.741
32696,ZCTA5 32696,FL,12784,29.396029,-82.462138,146.873
32697,ZCTA5 32697,FL,278,29.929558,-82.429252,0.459
32701,ZCTA5 32701,FL,23265,28.665624,-81.370356,5.621
32702,ZCTA5 32702,FL,3186,29.044189,-81.627473,56.887
32703,ZCTA5 32703,FL,54805,28.671037,-81.552512,50.849
32707,ZCTA5 32707,FL,37704,28.664104,-81.314908,9.71
32708,ZCTA5 32708,FL,47045,28.687105,-81.273445,18.439
32709,ZCTA5 32709,FL,2691,28.502489,-80.95883,116.677
32712,ZCTA5 32712,FL,50085,28.748388,-81.479774,59.706
32713,ZCTA5 32713,FL,22438,28.88373,-81.325287,20.677
