year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1989,Canada,2,Laonil,reported_name,nrcan-nfdb:9225,SK-1989-LAONIL,Saskatchewan,55.64165,-103.48881,77601,Canadian National Fire Database large-fire points,false,false
1989,Canada,3,Boulding,reported_name,nrcan-nfdb:7779,SK-1989-BOULDING,Saskatchewan,58.2344,-105.3021,71745,Canadian National Fire Database large-fire points,false,false
1989,United States,1,Ingraham,reported_name,mtbs:FL2547708076419890517,FL2547708076419890517,Florida,25.47676,-80.76444,85371,MTBS Fire Occurrence Points,false,false
1989,United States,2,Ft.Robinson,reported_name,mtbs:NE4268110358419890708,NE4268110358419890708,Nebraska,42.68146,-103.58368,46863,MTBS Fire Occurrence Points,false,false
1989,United States,3,Swinging Dome,reported_name,mtbs:AK6234115827319890702,AK6234115827319890702,Alaska,62.34099,-158.27269,28863,MTBS Fire Occurrence Points,false,false
1990,Canada,1,Dawn,reported_name,nrcan-nfdb:7635,SK-1990-DAWN,Saskatchewan,56.6094,-109.1979,83214,Canadian National Fire Database large-fire points,false,false
1990,Canada,2,Moose1,reported_name,nrcan-nfdb:9737,SK-1990-MOOSE1,Saskatchewan,57.1615,-106.6354,79510,Canadian National Fire Database large-fire points,false,false
1990,Canada,3,Norm1,reported_name,nrcan-nfdb:8705,SK-1990-NORM1,Saskatchewan,56.8438,-109.6042,67516,Canadian National Fire Database large-fire points,false,false
1990,United States,1,Fyu Ne 85,reported_name,mtbs:AK6750714227819900629,AK6750714227819900629,Alaska,67.50702,-142.27804,438445,MTBS Fire Occurrence Points,false,false
1990,United States,2,032018,reported_name,mtbs:AK6666014740219900627,AK6666014740219900627,Alaska,66.65965,-147.40221,333320,MTBS Fire Occurrence Points,false,false
1990,United States,3,Campbell,reported_name,mtbs:CA4004112182419900806,CA4004112182419900806,California,40.04127,-121.82355,128188,MTBS Fire Occurrence Points,false,false
1991,Canada,1,Herbert,reported_name,nrcan-nfdb:8188,SK-1991-HERBERT,Saskatchewan,59.5677,-104.4896,88483,Canadian National Fire Database large-fire points,false,false
1991,Canada,2,Morning,reported_name,nrcan-nfdb:8889,SK-1991-MORNING,Saskatchewan,54.9844,-109.4479,65977,Canadian National Fire Database large-fire points,false,false
1991,Canada,3,Hambone,reported_name,nrcan-nfdb:7605,SK-1991-HAMBONE,Saskatchewan,58.9115,-102.2188,62271,Canadian National Fire Database large-fire points,false,false
1991,United States,1,Blaine C,reported_name,mtbs:MT4838610920219911016,MT4838610920219911016,Montana,48.38638,-109.2023,138147,MTBS Fire Occurrence Points,false,false
1991,United States,2,131569,reported_name,mtbs:AK6667715221319910630,AK6667715221319910630,Alaska,66.67677,-152.21258,109499,MTBS Fire Occurrence Points,false,false
1991,United States,3,Btt S 17,reported_name,mtbs:AK6670715154819910630,AK6670715154819910630,Alaska,66.70742,-151.54772,43568,MTBS Fire Occurrence Points,false,false
1992,Canada,1,Cat,reported_name,nrcan-nfdb:8292,SK-1992-CAT,Saskatchewan,57.7865,-106.7188,98842,Canadian National Fire Database large-fire points,false,false
1992,Canada,2,Burn,reported_name,nrcan-nfdb:7737,SK-1992-BURN,Saskatchewan,59.6771,-103.2292,48936,Canadian National Fire Database large-fire points,false,false
1992,Canada,3,Darrell,reported_name,nrcan-nfdb:8875,SK-1992-DARRELL,Saskatchewan,55.1198,-108.8021,33443,Canadian National Fire Database large-fire points,false,false
1992,United States,1,Foothills,reported_name,mtbs:ID4351911570619920819,ID4351911570619920819,Idaho,43.52614,-115.73345,228509,MTBS Fire Occurrence Points,false,false
